epoch,step,batch,total,spa,exp,col,tv,lr
1,25,25,3.3845512866973877,2.3350960418611066e-06,0.2723950147628784,0.013704074546694756,0.00031525566009804606,0.0002
1,32,-1,4.030780874192715,1.6884868043742784e-06,0.3248009756207466,0.013635134855576325,0.000433278820310079,0.00018281152949374527
2,57,25,3.908911943435669,0.00011957168317167088,0.3084262013435364,0.02168165147304535,0.0006617973558604717,0.00018281152949374527
2,64,-1,3.7828467041254044,0.00012462271085666998,0.3040782078169286,0.011196807270607678,0.0005186637054066523,0.00013781152949374526
3,89,25,3.256943702697754,0.000843276793602854,0.22158333659172058,0.0025481588672846556,0.0038957311771810055,0.00013781152949374526
3,96,-1,3.520150326192379,0.0008716622214706149,0.2549592643044889,0.011391878935683053,0.002685387404198991,8.218847050625473e-05
4,121,25,3.0089683532714844,0.001977285835891962,0.16600127518177032,0.011043974198400974,0.006398372817784548,8.218847050625473e-05
4,128,-1,3.054181769490242,0.0015273023673216812,0.16730814101174474,0.020115387538680807,0.006295865779975429,3.7188470506254736e-05
5,153,25,3.4760141372680664,0.0019814278930425644,0.21063587069511414,0.015334795229136944,0.005798188969492912,3.7188470506254736e-05
5,160,-1,2.9462579637765884,0.0017615768610994564,0.15133324405178428,0.01929838129581185,0.006880037057271693,2e-05
1,25,25,2.3049638271331787,1.6304838936775923e-06,0.2728591561317444,0.013754623010754585,0.0002665789797902107,0.0002
1,32,-1,2.748369462788105,1.2259704540440453e-06,0.32501639891415834,0.013741760230914224,0.00039764117400409305,0.00018281152949374527
2,57,25,2.667583703994751,5.256862277747132e-05,0.3112860918045044,0.02451208047568798,0.00027341028908267617,0.00018281152949374527
2,64,-1,2.6019773706793785,4.8926992761266774e-05,0.31284068105742335,0.01076942219879129,0.000226779421154788,0.00013781152949374526
3,89,25,2.1823501586914062,0.0005179148283787072,0.2523522973060608,0.00304536335170269,0.0007389350794255733,0.00013781152949374526
3,96,-1,2.515473671257496,0.00037929154859739356,0.2927517667412758,0.009613724025257397,0.0006250580863707,8.218847050625473e-05
4,121,25,2.3345625400543213,0.0003807643079198897,0.26909762620925903,0.007163564208894968,0.000727915030438453,8.218847050625473e-05
4,128,-1,2.4853802025318146,0.0005227313849900384,0.28603642527014017,0.010236782633000985,0.0007269108118634904,3.7188470506254736e-05
5,153,25,2.8237125873565674,0.000493053812533617,0.33206668496131897,0.006348836701363325,0.0006747097941115499,3.7188470506254736e-05
5,160,-1,2.4895134456455708,0.0005078093554402585,0.28790828213095665,0.010062036319141043,0.0006771460557501996,2e-05
